,level,is_unique,is_playable
0,"##########
##########
##########
#######--#
#######$-#
#######--#
#######$.#
#######$.#
#######--#
##########",True,False
1,"##########
##########
##########
##########
##########
######-###
#--##-$-.#
#-$-#--$-#
#@$-#--.-#
##########",True,False
2,"##########
#-@#######
#-$-######
#--#######
#-$#######
#-$-######
#.---#####
#-#-#--###
#.----####
##########",True,False
3,"##########
#-########
#--#######
#--#######
#-########
#--#-#####
#--#-#####
#-$-.-$-.#
#-@$---.--#
##########",True,False
4,"##########
##########
##########
######-###
#--#--$@##
#--#-$.-##
#--#-$--##
#--#.---##
#--.----##
##########",True,False
5,"##########
#-########
#--#######
#--#######
#--#######
#--#######
#--#######
#-#-######
#-$--.####
#.@$-#####
##########",True,"[{'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}]"
6,"##########
##########
##########
##########
#######-##
#--#--$-.#
#-$-$-$-.#
#--.--$-.#
#--#-@--.#
##########",True,"[{'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}]"
7,"##########
#-@-######
#-$#######
#--#######
#-$-######
#-$-######
#--#######
#-.-######
#---######
##########",True,False
8,"##########
#---######
#-$-######
#-$#######
#--#######
#-$#######
#-@#######
#.$-######
#--#######
##########",True,False
9,"##########
#-@#######
#-$#######
#--#######
#-########
#-########
#-########
#-########
#-########
##########",True,False
10,"##########
##########
##########
#######-##
#-#--#-$-#
#--.---$@#
#--$-#--##
#-#####-##
#-########
##########",True,False
11,"##########
#--#######
#--#######
#--#######
#--#######
#--#######
#-#--#####
#-$-$@####
#.$-.-####
##########",True,False
12,"##########
##########
##########
#######-##
#-#####--#
#-#####--#
#-###--$-#
#-$-$--.-#
#-@----.-#
##########",True,False
13,"##########
##########
##########
##########
#######--#
#######$-#
#######--#
#######$.#
#######--#
##########",True,False
14,"##########
##########
##########
##########
##########
##########
#--#######
#-$-######
#.$@-#####
##########",True,False
15,"##########
#--#######
#--#######
#--#######
#--#######
#--#######
#--#######
#--#######
#--#######
#--.@#####
##########",True,False
16,"##########
##########
##########
##########
##########
##########
##########
##########
#-#-#--.-#
#-$-$-$-.#
##########",True,False
17,"##########
#--#######
#--#######
#-########
#--.######
#-$$-#####
#-.-$@####
#-#--#####
#-#.######
##########",True,False
18,"##########
#-.---####
#-$-.-####
#--$-#####
#--$-#####
#-@$-#####
#-#-######
#--#######
#--#######
##########",True,False
19,"##########
#--.-$-###
#--$--####
#-#-######
#-##--####
#-##$-####
#-##--####
#-##$-####
#-@--.####
##########",True,False
20,"##########
#-@#######
#-$-######
#--#######
#-$#######
#-.--$-###
#-.-#--###
#-$-#--###
#.----####
##########",True,False
21,"##########
#-########
#--#######
#-########
#-########
#-########
#-#####--#
#--#-$-$-#
#-.-$--.-#
##########",True,False
22,"##########
#--.---###
#-$-#-####
#--#-#####
#-#--#####
#-$-######
#-@#######
#-$-######
#--#######
##########",True,False
23,"##########
#-########
#-########
#-########
#-########
#-########
#-########
#-########
#-########
#-########
##########",True,False
24,"##########
##########
##########
#######--#
#-#####--#
#-##-#-$.#
#--$-#-$.#
#-@$--#--#
#--------#
##########",True,False
25,"##########
#--#######
#-########
#--#######
#--#######
#-########
#-#--#####
#-$-#--$@#
#--.---$-#
##########",True,False
26,"##########
##########
##########
##########
##########
##########
#--#######
#-#-#-#-##
#-$-$-$-#
#.@$-.--.#
##########",True,False
27,"##########
##########
##########
##########
#######-##
#-#--#-$-#
#-$-$-$-.#
#-@.----.#
#--#######
##########",True,False
28,"##########
#--#######
#--#######
#--#######
#-########
#--#######
#-#-######
#-$-######
#@$-######
##########",True,False
29,"##########
##########
##########
##########
##########
##########
##########
##########
##########
##########
##########",True,False
