,level,is_unique,is_novel,is_playable
0,"##########
#-########
#--.######
#-$$-#####
#---$-####
#-.#######
#-$-######
#--#######
#-@#######
##########",True,True,False
1,"##########
#-----.###
#-$$-.$-##
#--##--###
#-####--##
#-#####--#
#-#####.-#
#-#####$-#
#-@----.-#
##########",True,True,"[{'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}]"
2,"##########
#######--#
#######$-#
#######--#
#######--#
#######$.#
#######.-#
######.$-#
######--@#
##########",True,True,"[{'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}]"
3,"##########
##########
##########
#--#######
#-#-######
#-.#-#--##
#-$--.$--#
#-#-$---.#
#@-.--.-.#
##########",True,True,False
4,"##########
#-----####
#-$$-#####
#-##--####
#--#--####
#-#--.####
#-#-$#####
#-#.-@####
#-#--.####
##########",True,True,"[{'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}]"
5,"##########
#--#######
#--#######
#-#-######
#-#-#--###
#--.-$-###
#.$$-$-###
#-.#######
#-@---####
##########",True,True,False
6,"##########
##########
##########
##########
##########
###-#.###
###$$-$-#
#@$.-.--#
#.-----.#
##########",True,True,False
7,"##########
#--#######
#.---$@###
#-$$-#--##
#-.------#
#---######
#--#######
#-########
#-########
##########",True,True,False
8,"##########
##########
##########
##########
##########
##########
##-#-#-###
#-$$-$-$@#
#.-.---.-#
##########",True,True,False
9,"##########
#-------##
#.$---####
#--#######
#-$#######
#.$@######
#--#######
#-########
#-########
##########",True,True,False
10,"##########
#######--#
#######$-#
#######--#
#######$.#
#######.-#
#######$-#
######-$.#
#####-.--#
##########",True,True,False
11,"##########
#--#######
#-########
#-########
#--.######
#.$#######
#-$#-#####
#--$-#####
#-@----###
##########",True,True,False
12,"##########
#-########
#--#######
#-########
#--.##--##
#--#----##
#-$--.$-##
#-$.-#-@##
#-.#######
##########",True,True,False
13,"##########
##########
##########
##########
##########
#######-.#
###-$----#
##-.$$.$-#
###@-#---#
##########",True,True,False
14,"##########
#----.---#
#-$-$---.#
#--####-.#
#-#####--#
#-#####-.#
#-#####--#
#.#####$-#
#.@##--#-#
##########",True,True,False
15,"##########
#-########
#--#######
#-########
#--.######
#-$--#####
#-$@######
#-#$######
#-.--$-.##
##########",True,True,False
16,"##########
#-########
#--#######
#-########
#--.##--##
#-.$-$-$-#
#-.--#-.@#
#-#####-.#
#--####--#
##########",True,True,False
17,"##########
#--#######
#--#######
#-########
#--.######
#--$@#####
#-#$######
#-$-######
#.-.######
##########",True,True,"[{'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}]"
18,"##########
##########
##########
##########
##########
#######-.#
#####-$--#
#@$-$---.#
##-$-.---#
##########",True,True,False
19,"##########
#--#######
#-########
#--.######
#---$-####
#---$-####
#-.#-#--##
#-$$-#-.##
#-----@-##
##########",True,True,False
20,"##########
#-########
#--#######
#-########
#-###-####
#-.-$-####
#---$@####
#-#.$-####
#--.---###
##########",True,True,"[{'x': -1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}]"
21,"##########
##########
#--#######
#-########
#--.###--#
#---$-.$-#
#-#--$@#-#
#-$-.-.-.#
#--------#
##########",True,True,False
22,"##########
##########
##########
##########
########-#
######-.@#
######$.-#
##.$-$-$-#
#.----$--#
##########",True,True,False
23,"##########
#-.#######
#--#######
#-########
#--.###--#
#-$@###--#
#.$-###$-#
#-$-###--#
#---###--#
##########",True,True,False
24,"##########
#----#####
#.-$@#####
##$-######
#---######
#-########
#--#######
#-$$-#####
#---.---##
##########",True,True,False
25,"##########
#--#######
#-########
#--.######
#-$#######
#-$@######
#--#######
#.$#######
#.-#######
##########",True,True,"[{'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}]"
26,"##########
##########
##########
##########
##-#-#@###
#--$$-####
#..-#-####
#-$.-#####
#---######
##########",True,True,[]
27,"##########
##########
##########
##########
##########
######-###
###.--$-.#
####-$#--#
####@$-.##
##########",True,True,"[{'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}]"
28,"##########
#.-#######
#-$-######
#--#######
#.$#######
#--#######
#-.-######
#$$-######
#---@#####
##########",True,True,False
29,"##########
##########
##########
####--####
####--####
####.$@###
###-$-#--#
###--$-$-#
#----.---#
##########",True,True,False
30,"##########
#--------#
#--.--$-##
#-##-#--##
#--##--###
#-$-##-###
#--$@$-###
#.##-.####
#--------#
##########",True,True,False
31,"##########
#---######
#-$$######
#---######
#.-#######
#--$-#####
#-$.-#####
#.-$@#####
#---######
##########",True,True,False
